E0723 14:26:49.856021       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42370->10.244.0.5:4443: use of closed network connection" connectionID=16
I0723 14:26:49.856432       1 client.go:492] "Exiting remoteToProxy" connectionID=16
E0723 14:26:49.856237       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42372->10.244.0.5:4443: use of closed network connection" connectionID=17
I0723 14:26:49.856524       1 client.go:492] "Exiting remoteToProxy" connectionID=17
E0723 14:26:49.856283       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42366->10.244.0.5:4443: use of closed network connection" connectionID=18
I0723 14:26:49.856608       1 client.go:492] "Exiting remoteToProxy" connectionID=18
E0723 14:26:49.856318       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42374->10.244.0.5:4443: use of closed network connection" connectionID=19
I0723 14:26:49.856675       1 client.go:492] "Exiting remoteToProxy" connectionID=19
I0723 14:26:49.856358       1 client.go:534] "Exiting proxyToRemote" connectionID=19
I0723 14:26:49.856369       1 client.go:534] "Exiting proxyToRemote" connectionID=16
I0723 14:26:49.856379       1 client.go:534] "Exiting proxyToRemote" connectionID=17
I0723 14:26:49.856405       1 client.go:534] "Exiting proxyToRemote" connectionID=18
E0723 14:27:57.995602       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:59918->10.244.1.5:4443: use of closed network connection" connectionID=15
I0723 14:27:57.996186       1 client.go:492] "Exiting remoteToProxy" connectionID=15
I0723 14:27:57.996113       1 client.go:534] "Exiting proxyToRemote" connectionID=15
E0723 14:27:58.007682       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:59926->10.244.1.5:4443: use of closed network connection" connectionID=20
I0723 14:27:58.007723       1 client.go:492] "Exiting remoteToProxy" connectionID=20
I0723 14:27:58.008597       1 client.go:534] "Exiting proxyToRemote" connectionID=20
I0723 14:27:59.188715       1 client.go:507] "connection EOF" connectionID=15
I0723 14:27:59.188851       1 client.go:492] "Exiting remoteToProxy" connectionID=15
I0723 14:27:59.188868       1 client.go:534] "Exiting proxyToRemote" connectionID=15
I0723 14:27:59.189159       1 client.go:507] "connection EOF" connectionID=5
I0723 14:27:59.189302       1 client.go:492] "Exiting remoteToProxy" connectionID=5
I0723 14:27:59.189499       1 client.go:534] "Exiting proxyToRemote" connectionID=5
I0723 14:27:59.189699       1 client.go:507] "connection EOF" connectionID=9
I0723 14:27:59.189860       1 client.go:492] "Exiting remoteToProxy" connectionID=9
I0723 14:27:59.189966       1 client.go:534] "Exiting proxyToRemote" connectionID=9
I0723 14:27:59.190122       1 client.go:507] "connection EOF" connectionID=13
I0723 14:27:59.190272       1 client.go:492] "Exiting remoteToProxy" connectionID=13
I0723 14:27:59.190395       1 client.go:534] "Exiting proxyToRemote" connectionID=13
I0723 14:27:59.190502       1 client.go:507] "connection EOF" connectionID=26
I0723 14:27:59.190674       1 client.go:492] "Exiting remoteToProxy" connectionID=26
